"","taxa_id","Species","stat","p_value","Domain","Phylum","Order","Class","Family","Genus"
"155","Otu02885","Pocillopora_acuta",0.426,0.027,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Desulfuromonadaceae","Pelobacter"
"156","Otu03140","Pocillopora_acuta",0.426,0.029,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"157","Otu03169","Pavona_varians",0.42,0.039,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Muricauda"
"158","Otu03273","Pocillopora_acuta",0.426,0.027,"Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2"
"159","Otu03648","Montipora_capitata",0.447,0.02,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas"
"160","Otu03677","Pocillopora_acuta",0.426,0.031,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"161","Otu03942","Montipora_capitata",0.447,0.017,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Marinicella"
"162","Otu04800","Pocillopora_acuta",0.426,0.03,"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"163","Otu04934","Montipora_capitata",0.447,0.016,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Lewinella"
"164","Otu05162","Pavona_varians",0.42,0.043,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum"
"165","Otu05252","Pocillopora_acuta",0.426,0.043,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"166","Otu05546","Pocillopora_acuta",0.426,0.041,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"167","Otu06397","Pocillopora_acuta",0.426,0.031,"Bacteria","Planctomycetes","OM190","OM190_or","OM190_fa","OM190_ge"
